"date","scale"
1985-08-01,7.07666665031796
1985-09-01,9.67400007247925
1985-10-01,10.3152380897885
1985-11-01,13.0485715411958
1985-12-01,10.9028570992606
1986-01-01,10.8857143038795
1986-02-01,9.43857131685529
1986-03-01,10.9180951799665
1986-04-01,11.6219047364734
1986-05-01,9.76571425937471
1986-06-01,7.86333329336984
1986-07-01,6.8428571451278
1986-08-01,8.13857144401187
1986-09-01,9.71523795809065
1986-10-01,10.6261904353187
1986-11-01,10.4833334059942
1986-12-01,12.1085714612688
1987-01-01,12.4947619211106
1987-02-01,10.4714286895025
1987-03-01,12.1142857415336
1987-04-01,10.0009523800441
1987-05-01,7.95047623770578
1987-06-01,8.22333338147118
1987-07-01,7.71380955832345
1987-08-01,8.44999994550433
1987-09-01,9.25952389126732
1987-10-01,11.0214284715198
